,state,event,time,orbital_period,eccentricity,rl_relative_overflow_1,rl_relative_overflow_2,lg_mtransfer_rate,mass_transfer_case,trap_radius,acc_radius,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_center_c12,S1_center_n14,S1_center_o16,S1_surface_h1,S1_surface_he4,S1_surface_c12,S1_surface_n14,S1_surface_o16,S1_log_LH,S1_log_LHe,S1_log_LZ,S1_log_Lnuc,S1_center_gamma,S1_avg_c_in_c_core,S1_surf_avg_omega,S1_surf_avg_omega_div_omega_crit,S1_total_moment_of_inertia,S1_log_total_angular_momentum,S1_spin,S1_envelope_binding_energy,S1_lambda_CE_1cent,S1_lambda_CE_10cent,S1_lambda_CE_30cent,S1_lambda_CE_pure_He_star_10cent,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_center_c12,S2_center_n14,S2_center_o16,S2_surface_h1,S2_surface_he4,S2_surface_c12,S2_surface_n14,S2_surface_o16,S2_log_LH,S2_log_LHe,S2_log_LZ,S2_log_Lnuc,S2_center_gamma,S2_avg_c_in_c_core,S2_surf_avg_omega,S2_surf_avg_omega_div_omega_crit,S2_total_moment_of_inertia,S2_log_total_angular_momentum,S2_spin,S2_envelope_binding_energy,S2_lambda_CE_1cent,S2_lambda_CE_10cent,S2_lambda_CE_30cent,S2_lambda_CE_pure_He_star_10cent
54,detached,END,100000000.0,0.0475199033718561,0.0,-1.0,-0.1840202507827885,-99.0,,1.9548383515186544e-122,1250000.0,step_end,2.86102294921875e-05,NS,1.1960331691,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,1.002630542702019,-0.6717336366607655,2.4308672581719786,-8.74425115066633,1.002630542702019,0.212958741846266,0.0,0.0,0.0,0.7936426244809611,0.1879971438500764,0.0001032329124598,0.0124891800844231,5.91443993733193e-41,0.9857999999999998,0.0025116795969408,0.0007357524978486,0.0060883500547338,-10.381615388357996,2.4127510391263294,1.091786222730856,2.433587460585062,0.1001921112818841,,0.001528301848995,0.2548122738748378,3.033313432994972e+52,49.66606955603739,5.236187133332449,-2.612242886308633e+35,1e+99,1e+99,1e+99,1.3233719437816491
183,detached,END,100000000.0,0.0429883807227942,0.0,-1.0,-0.0714536860645589,-80.87968133093092,,3.823046162462801e-62,1250000.0,step_end,3.0040740966796875e-05,NS,1.1960331691,-4.7456867466967045,,-81.16631508836346,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,0.9957520844496022,-0.6456949379430986,2.4742368709443032,-8.673255292989802,0.9957520844496022,0.2261082945729191,0.0,0.0,0.0,0.5453121262880345,0.4061023683795425,6.562055047770096e-06,0.0426730152641642,2.4440001605171468e-39,0.9857999999999996,0.0025116795969408,0.0007357524978486,0.0060883500547338,-10.92292656247992,2.4195537159017912,1.5639217958356657,2.4765011733153064,0.1397859138274722,,0.001689854225089,0.3119090152737134,3.129632738737623e+52,49.72331673933196,6.055544156278813,0.0,1e+99,1e+99,1e+99,1.258817254220787
219,detached,END,100000000.0,0.0217373853162239,0.0,-1.0,-0.8536482078639642,-99.0,,0.0,1250000.0,step_end,2.8848648071289062e-05,NS,1.4472401497340508,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,0.5341798342067311,,,,,,stripped_He_Central_He_depleted,0.5885490714906084,-1.7349085577768648,1.0449643498125851,-10.535963963464482,0.5885490714906084,0.0184889373195071,0.5551986598413662,0.0117684608581597,3.842735053738917e-57,1.545393722272425e-28,0.4620763219414394,8.896294313440044e-24,0.5320057680910011,8.467256647089233e-28,0.985664048441496,0.0026393034886745,0.0007354114096063,0.0060965315387058,-23.435099420222446,-1.9319932186026247,-0.4112860464216826,-0.3732286743048248,7.429783052517022,,0.0088404519267419,0.0468487376735006,2.16369544293454e+50,48.278558904380674,0.6223761287121765,0.0,1e+99,1e+99,1e+99,1.834302289402728
263,detached,END,100000000.0,0.0423441932436237,0.0,-1.0,-0.0547429552231279,-62.3890413238676,,1.0474993630559487e-60,1250000.0,step_end,2.86102294921875e-05,NS,1.1960331691,-4.7456867466967045,,-62.97894331513614,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,0.9947806488002564,-0.6423911249406711,2.479906919882086,-8.663389704251175,0.9947806488002564,0.2278289330357686,0.0,0.0,1.7355861555475937e-27,0.5155516032081785,0.4299524800323846,6.409296555694507e-06,0.0485833590387997,3.1219143492961416e-39,0.9858,0.0025116795969408,0.0007357524978486,0.0060883500547338,-10.08737352355978,2.4192563236495377,1.6116366500720267,2.4821138265328595,0.1461268355616753,,0.0017157019373797,0.3208301306927542,3.13860626072532e+52,49.73119524178578,6.177318215143589,0.0,1e+99,1e+99,1e+99,1.2500530056536403
324,RLO2,END,100000000.0,0.0329222712631045,0.0,-1.0,0.0044172897170513,-7.322777762932048,case_BB1,1.2404315777793887e-05,1250000.0,step_end,2.765655517578125e-05,NS,1.4267529415737568,-4.7456867466967045,,-7.427656330388082,,,,,,,,,,,,,,,,,,,,,,,,,0.5035748426000869,,,,,,stripped_He_Central_He_depleted,0.6292715178427754,-0.7659289632581223,2.792286310493614,-7.273604769882544,0.6292715178427754,0.1715280302244516,0.4239390543888865,0.0217099255899316,0.0,9.316857908091484e-23,0.4620763219414397,8.89541145425378e-24,0.5320057680910003,2.700379986441601e-26,0.9857385649166672,0.0025696215934947,0.0007355891360509,0.0060917731284421,-20.56571930555124,2.606542326569131,2.289555708594204,2.7776504707214875,1.6011435896813182,,0.0013829349518647,0.2206693079078851,3.1890367140797784e+51,48.6169025752833,1.1908859150055573,0.0,1e+99,1e+99,1e+99,0.4964931443703754
439,detached,END,100000000.0,0.0438392058235886,0.0,-1.0,-0.0934916705664438,-98.81510890138188,,3.06457433496181e-97,1250000.0,step_end,3.4332275390625e-05,NS,1.1960331691,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,0.997036493831774,-0.6501725064153205,2.4665587487895237,-8.686479570630258,0.997036493831774,0.2237853230984752,0.0,0.0,1.5791463442044802e-27,0.5858602141841964,0.3731226848174057,7.4883416399133555e-06,0.0351050105717827,1.50322665961817e-39,0.9858,0.0025116795969408,0.0007357524978486,0.0060883500547338,-11.199165109279791,2.4197027009304817,1.498137819283966,2.468931121744063,0.1314608470057139,,0.0016561415481857,0.3002036528540049,3.1167937758355767e+52,49.71281899226913,5.894976475665708,0.0,1e+99,1e+99,1e+99,1.2705973851372048
446,detached,END,100000000.0,0.0437118075619416,0.0,-1.0,-0.0902114625498528,-98.76816423440648,,3.8426833010038303e-97,1250000.0,step_end,3.337860107421875e-05,NS,1.1960331691,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,0.9968437113785844,-0.6494661537136358,2.46776293620863,-8.684445353362753,0.9968437113785844,0.224148666433577,0.0,0.0,7.1015876290365045e-28,0.5793407891895177,0.3785911804373523,7.028439773018624e-06,0.0361557425231904,1.6533747043239416e-39,0.9858,0.0025116795969408,0.0007357524978486,0.0060883500547338,-11.213439221852148,2.419765959308598,1.5089834144315324,2.4701216932658205,0.132692144566757,,0.0016610333057537,0.3019234520251473,3.11904887461572e+52,49.71441962466416,5.918877812926692,0.0,1e+99,1e+99,1e+99,1.2687727145340613
498,detached,END,100000000.0,0.0236212767982607,0.0,-1.0,-0.8317491680023408,-99.0,,0.0,1250000.0,step_end,2.86102294921875e-05,NS,1.4472401497340508,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,0.5341798342067311,,,,,,stripped_He_Central_He_depleted,0.5885835797054191,-1.651345578444071,1.5756864356275833,-9.832698649228046,0.5885835797054191,0.0225213798308489,0.5549207670742337,0.0130057306935412,3.154919225483929e-57,1.832743290666216e-28,0.4620763219414394,8.896235018813465e-24,0.532005768091001,2.3059370622183934e-27,0.9856641303640292,0.0026392271802568,0.0007354115958367,0.0060965260044047,-22.23599681246879,0.044950591662542,0.6933368115031457,0.7933082328468833,5.706892554002781,,0.0074930225427708,0.0538026553872164,2.573956723938459e+50,48.278745672833296,0.6225708537538969,0.0,1e+99,1e+99,1e+99,1.6235584470614806
549,detached,END,100000000.0,0.0415363878752199,0.0,-1.0,-0.0337529747746225,-42.4099897311775,,3.182757390673206e-06,1250000.0,step_end,3.0040740966796875e-05,NS,1.1972062952027502,-4.7456867466967045,,-42.78583784050245,,,,,,,,,,,,,,,,,,,,,,,,,0.003588973941334,,,,,,stripped_He_Core_He_burning,0.9923542031419096,-0.6391359674230784,2.4841604917620197,-8.2090887732011,0.9923542031419096,0.2295542538071243,0.0,0.0,0.0,0.4801362772821382,0.4561494264249323,4.747437910812322e-06,0.057801021739692,2.86599516103824e-37,0.9858,0.0025116795969408,0.0007357524978486,0.0060883500547338,-10.451527124966791,2.414344268931208,1.6639147945122763,2.486223340145614,0.1556212922153946,,0.0017486900697845,0.3317628174993938,3.1359037238908767e+52,49.73898025873768,6.322796202551567,0.0,1e+99,1e+99,1e+99,1.2397306884319372
561,detached,END,100000000.0,0.0470823730469279,0.0,-1.0,-0.1733455956937068,-99.0,,5.710173688877663e-122,1250000.0,step_end,3.075599670410156e-05,NS,1.1960331691,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,1.0019650763133132,-0.6691475016005153,2.435128091152108,-8.73740440971346,1.0019650763133132,0.2142522390791346,0.0,0.0,0.0,0.7685512046425453,0.2105519582854452,9.01607167952362e-05,0.0150201825475456,1.725065107241483e-40,0.9857999999999998,0.0025116795969408,0.0007357524978486,0.0060883500547338,-10.485356522825644,2.413681527160941,1.141985238765584,2.437807841496193,0.103821267354155,,0.0015432239882447,0.2601203519323087,3.043607600330408e+52,49.67163662698729,5.313849276936484,-2.247761616365605e+35,1e+99,1e+99,1e+99,1.317098270802142
